id	timestamp	session_id	entity	propertes	suggestions	missing	overall	opinion
11	2014-05-14 13:19:35	10.68.16.65	Q5633	[{"id":"P646","label":"Freebase identifier"},{"id":"P201","label":"lake outflow"},{"id":"P373","label":"Commons category"},{"id":"P625","label":"coordinate location"},{"id":"P17","label":"country"},{"id":"P17","label":"country"},{"id":"P18","label":"image"},{"id":"P31","label":"instance of"}]	[{"id":"P131","label":"is in the administrative-territorial entity","rating":1,"probability":0.17671898167048},{"id":"P569","label":"date of birth","rating":-1,"probability":0.069744743891144},{"id":"P21","label":"sex or gender","rating":-1,"probability":0.062765866676013},{"id":"P200","label":"lake inflows","rating":1,"probability":0.044510758425661},{"id":"P214","label":"VIAF identifier","rating":-1,"probability":0.044152418001821},{"id":"P19","label":"place of birth","rating":1,"probability":0.042274048170449},{"id":"P132","label":"type of administrative entity","rating":1,"probability":0.038373442499765}]	[]	1	
12	2014-05-14 13:19:53	10.68.16.65	Q1726	[{"id":"P439","label":"German municipality key"},{"id":"P646","label":"Freebase identifier"},{"id":"P473","label":"local dialing code"},{"id":"P373","label":"Commons category"},{"id":"P625","label":"coordinate location"},{"id":"P214","label":"VIAF identifier"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P571","label":"date of foundation or creation"},{"id":"P982","label":"MusicBrainz area ID"},{"id":"P395","label":"licence plate code"},{"id":"P131","label":"is in the administrative-territorial entity"},{"id":"P131","label":"is in the administrative-territorial entity"},{"id":"P132","label":"type of administrative entity"},{"id":"P132","label":"type of administrative entity"},{"id":"P94","label":"coat of arms image"},{"id":"P1151","label":"topic's main portal"},{"id":"P856","label":"official website"},{"id":"P17","label":"country"},{"id":"P18","label":"image"},{"id":"P30","label":"continent"},{"id":"P31","label":"instance of"},{"id":"P31","label":"instance of"},{"id":"P31","label":"instance of"},{"id":"P31","label":"instance of"},{"id":"P31","label":"instance of"},{"id":"P31","label":"instance of"},{"id":"P31","label":"instance of"},{"id":"P349","label":"NDL identifier"},{"id":"P6","label":"head of government"},{"id":"P6","label":"head of government"},{"id":"P6","label":"head of government"},{"id":"P6","label":"head of government"},{"id":"P1249","label":"earliest written record"},{"id":"P910","label":"topic's main category"},{"id":"P281","label":"postal code"},{"id":"P281","label":"postal code"},{"id":"P281","label":"postal code"},{"id":"P281","label":"postal code"},{"id":"P1082","label":"population"},{"id":"P1082","label":"population"},{"id":"P998","label":"dmoz"},{"id":"P421","label":"time zone"},{"id":"P242","label":"locator map image"},{"id":"P935","label":"Commons gallery"},{"id":"P268","label":"BnF identifier"}	[{"id":"P21","label":"sex or gender","rating":-1,"probability":0.041171373934194},{"id":"P635","label":"ISTAT ID","rating":-2,"probability":0.030789285072933},{"id":"P806","label":"Italian cadastre code","rating":-1,"probability":0.030753340794581},{"id":"P244","label":"LCNAF identifier","rating":-1,"probability":0.03005850426096},{"id":"P361","label":"part of","rating":-1,"probability":0.02870522668818},{"id":"P569","label":"date of birth","rating":-1,"probability":0.028053357394724},{"id":"P19","label":"place of birth","rating":-1,"probability":0.025710290451807}]	[]	4	
13	2014-05-14 13:20:16	10.68.16.65	Q139	[{"id":"P646","label":"Freebase identifier"},{"id":"P31","label":"instance of"},{"id":"P373","label":"Commons category"},{"id":"P487","label":"Unicode character"},{"id":"P487","label":"Unicode character"}]	[{"id":"P17","label":"country","rating":-1,"probability":0.092710985802114},{"id":"P625","label":"coordinate location","rating":-1,"probability":0.091288993866848},{"id":"P21","label":"sex or gender","rating":-1,"probability":0.072205526421645},{"id":"P18","label":"image","rating":1,"probability":0.068829028601093},{"id":"P50","label":"author","rating":-1,"probability":0.060357536338935},{"id":"P131","label":"is in the administrative-territorial entity","rating":-1,"probability":0.059932008186089},{"id":"P569","label":"date of birth","rating":-1,"probability":0.052432844282261}]	[{"P18":"image"}]		
14	2014-05-14 13:22:57	10.68.16.65	Q5504	[{"id":"P361","label":"part of"},{"id":"P910","label":"topic's main category"},{"id":"P373","label":"Commons category"},{"id":"P156","label":"succeeded by"},{"id":"P155","label":"preceded by"},{"id":"P31","label":"instance of"}]	[{"id":"P646","label":"Freebase identifier","rating":-2,"probability":0.19269970133901},{"id":"P17","label":"country","rating":-1,"probability":0.12616085978225},{"id":"P625","label":"coordinate location","rating":-1,"probability":0.10194264650345},{"id":"P131","label":"is in the administrative-territorial entity","rating":-1,"probability":0.09892968845088},{"id":"P175","label":"performer\/musical artist","rating":-1,"probability":0.094378030397638},{"id":"P264","label":"record label","rating":-1,"probability":0.078423010070401},{"id":"P60","label":"type of astronomical object","rating":-1,"probability":0.059609485446708}]	[]		
15	2014-05-14 13:23:52	10.68.16.65	Q3849	[{"id":"P646","label":"Freebase identifier"},{"id":"P107","label":"DEPRECATED main type (GND)"}]	[{"id":"P31","label":"instance of","rating":1,"probability":0.3600889891386},{"id":"P17","label":"country","rating":-1,"probability":0.25087636918761},{"id":"P131","label":"is in the administrative-territorial entity","rating":-1,"probability":0.18097250536084},{"id":"P625","label":"coordinate location","rating":-1,"probability":0.14032599388156},{"id":"P442","label":"China administrative division code","rating":-1,"probability":0.10963053588057},{"id":"P50","label":"author","rating":-1,"probability":0.10450097639114},{"id":"P373","label":"Commons category","rating":-1,"probability":0.095285503193736}]	[]		
16	2014-05-14 13:24:44	10.68.16.65	Q3154	[{"id":"P625","label":"coordinate location"},{"id":"P31","label":"instance of"},{"id":"P17","label":"country"}]	[{"id":"P131","label":"is in the administrative-territorial entity","rating":1,"probability":0.31807267852128},{"id":"P646","label":"Freebase identifier","rating":1,"probability":0.13530900143087},{"id":"P373","label":"Commons category","rating":1,"probability":0.10969499871135},{"id":"P442","label":"China administrative division code","rating":0,"probability":0.10078530421015},{"id":"P569","label":"date of birth","rating":-1,"probability":0.083906307649158},{"id":"P132","label":"type of administrative entity","rating":1,"probability":0.052671124693006},{"id":"P21","label":"sex or gender","rating":-1,"probability":0.037611789972289}]	[]	2	
17	2014-05-14 13:25:28	10.68.16.65	Q3553	[{"id":"P646","label":"Freebase identifier"},{"id":"P131","label":"is in the administrative-territorial entity"},{"id":"P625","label":"coordinate location"},{"id":"P843","label":"SIRUTA code"},{"id":"P1082","label":"population"},{"id":"P17","label":"country"},{"id":"P31","label":"instance of"},{"id":"P31","label":"instance of"}]	[{"id":"P856","label":"official website","rating":1,"probability":0.1237275492666},{"id":"P373","label":"Commons category","rating":1,"probability":0.10290339163371},{"id":"P275","label":"license","rating":-1,"probability":0.097606114353095},{"id":"P50","label":"author","rating":-1,"probability":0.083965355301773},{"id":"P136","label":"genre","rating":-1,"probability":0.064011164387921},{"id":"P132","label":"type of administrative entity","rating":1,"probability":0.063089311184134},{"id":"P281","label":"postal code","rating":1,"probability":0.049022270765688}]	[{"P473":"local dialing code"}]	2	
18	2014-05-14 13:26:25	10.68.16.65	Q994	[{"id":"P646","label":"Freebase identifier"},{"id":"P473","label":"local dialing code"},{"id":"P373","label":"Commons category"},{"id":"P625","label":"coordinate location"},{"id":"P150","label":"contains administrative territorial entity"},{"id":"P150","label":"contains administrative territorial entity"},{"id":"P150","label":"contains administrative territorial entity"},{"id":"P150","label":"contains administrative territorial entity"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P190","label":"twin city"},{"id":"P158","label":"seal image"},{"id":"P982","label":"MusicBrainz area ID"},{"id":"P131","label":"is in the administrative-territorial entity"},{"id":"P132","label":"type of administrative entity"},{"id":"P94","label":"coat of arms image"},{"id":"P17","label":"country"},{"id":"P18","label":"image"},{"id":"P30","label":"continent"},{"id":"P31","label":"instance of"},{"id":"P31","label":"instance of"},{"id":"P935","label":"Commons gallery"},{"id":"P910","label":"topic's main category"},{"id":"P281","label":"postal code"},{"id":"P998","label":"dmoz"},{"id":"P421","label":"time zone"},{"id":"P300","label":"ISO 3166-2"},{"id":"P163","label":"flag"},{"id":"P948","label":"Wikivoyage banner"},{"id":"P901","label":"FIPS 10-4 (countries and regions)"},{"id":"P41","label":"flag image"}]	[{"id":"P242","label":"locator map image","rating":-2,"probability":0.062148471639039},{"id":"P47","label":"shares border with","rating":1,"probability":0.058399164898751},{"id":"P227","label":"GND identifier","rating":-2,"probability":0.038982667910078},{"id":"P856","label":"official website","rating":1,"probability":0.036761061711094},{"id":"P36","label":"capital","rating":-1,"probability":0.034459549335029},{"id":"P6","label":"head of government","rating":-1,"probability":0.032874374797281},{"id":"P214","label":"VIAF identifier","rating":-1,"probability":0.032420556313502}]	[]		
19	2014-05-14 13:40:29	10.68.16.65	Q1212	[{"id":"P646","label":"Freebase identifier"},{"id":"P373","label":"Commons category"},{"id":"P625","label":"coordinate location"},{"id":"P590","label":"GNIS ID"},{"id":"P883","label":"FIPS 5-2 (code for US states)"},{"id":"P883","label":"FIPS 5-2 (code for US states)"},{"id":"P1151","label":"topic's main portal"},{"id":"P194","label":"legislative body"},{"id":"P131","label":"is in the administrative-territorial entity"},{"id":"P132","label":"type of administrative entity"},{"id":"P94","label":"coat of arms image"},{"id":"P571","label":"date of foundation or creation"},{"id":"P856","label":"official website"},{"id":"P17","label":"country"},{"id":"P31","label":"instance of"},{"id":"P36","label":"capital"},{"id":"P37","label":"official language"},{"id":"P910","label":"topic's main category"},{"id":"P421","label":"time zone"},{"id":"P998","label":"dmoz"},{"id":"P998","label":"dmoz"},{"id":"P300","label":"ISO 3166-2"},{"id":"P242","label":"locator map image"},{"id":"P163","label":"flag"},{"id":"P948","label":"Wikivoyage banner"},{"id":"P901","label":"FIPS 10-4 (countries and regions)"},{"id":"P47","label":"shares border with"},{"id":"P47","label":"shares border with"},{"id":"P47","label":"shares border with"},{"id":"P47","label":"shares border with"},{"id":"P47","label":"shares border with"},{"id":"P47","label":"shares border with"},{"id":"P47","label":"shares border with"},{"id":"P41","label":"flag image"}]	[{"id":"P281","label":"postal code","rating":0,"probability":0.083285481315106},{"id":"P982","label":"MusicBrainz area ID","rating":1,"probability":0.073026735365856},{"id":"P18","label":"image","rating":1,"probability":0.071617455075029},{"id":"P150","label":"contains administrative territorial entity","rating":1,"probability":0.070275983313441},{"id":"P227","label":"GND identifier","rating":-2,"probability":0.068799981670454},{"id":"P214","label":"VIAF identifier","rating":-2,"probability":0.064037683710922},{"id":"P6","label":"head of government","rating":1,"probability":0.048893262748607}]	[]		
20	2014-05-14 14:08:39	10.68.16.65	Q1212	[{"id":"P646","label":"Freebase identifier"},{"id":"P373","label":"Commons category"},{"id":"P625","label":"coordinate location"},{"id":"P590","label":"GNIS ID"},{"id":"P883","label":"FIPS 5-2 (code for US states)"},{"id":"P883","label":"FIPS 5-2 (code for US states)"},{"id":"P1151","label":"topic's main portal"},{"id":"P194","label":"legislative body"},{"id":"P131","label":"is in the administrative-territorial entity"},{"id":"P132","label":"type of administrative entity"},{"id":"P94","label":"coat of arms image"},{"id":"P571","label":"date of foundation or creation"},{"id":"P856","label":"official website"},{"id":"P17","label":"country"},{"id":"P31","label":"instance of"},{"id":"P36","label":"capital"},{"id":"P37","label":"official language"},{"id":"P910","label":"topic's main category"},{"id":"P421","label":"time zone"},{"id":"P998","label":"dmoz"},{"id":"P998","label":"dmoz"},{"id":"P300","label":"ISO 3166-2"},{"id":"P242","label":"locator map image"},{"id":"P163","label":"flag"},{"id":"P948","label":"Wikivoyage banner"},{"id":"P901","label":"FIPS 10-4 (countries and regions)"},{"id":"P47","label":"shares border with"},{"id":"P47","label":"shares border with"},{"id":"P47","label":"shares border with"},{"id":"P47","label":"shares border with"},{"id":"P47","label":"shares border with"},{"id":"P47","label":"shares border with"},{"id":"P47","label":"shares border with"},{"id":"P41","label":"flag image"}]	[{"id":"P281","label":"postal code","rating":0,"probability":0.083285481315106},{"id":"P982","label":"MusicBrainz area ID","rating":1,"probability":0.073026735365856},{"id":"P18","label":"image","rating":1,"probability":0.071617455075029},{"id":"P150","label":"contains administrative territorial entity","rating":1,"probability":0.070275983313441},{"id":"P227","label":"GND identifier","rating":-2,"probability":0.068799981670454},{"id":"P214","label":"VIAF identifier","rating":-2,"probability":0.064037683710922},{"id":"P6","label":"head of government","rating":1,"probability":0.048893262748607}]	[]		
21	2014-05-14 14:09:35	10.68.16.65	Q1032	[{"id":"P299","label":"ISO 3166-1 numeric"},{"id":"P298","label":"ISO 3166-1 alpha-3"},{"id":"P474","label":"country calling code"},{"id":"P94","label":"coat of arms image"},{"id":"P373","label":"Commons category"},{"id":"P297","label":"ISO 3166-1 alpha-2"},{"id":"P625","label":"coordinate location"},{"id":"P214","label":"VIAF identifier"},{"id":"P150","label":"contains administrative territorial entity"},{"id":"P150","label":"contains administrative territorial entity"},{"id":"P150","label":"contains administrative territorial entity"},{"id":"P150","label":"contains administrative territorial entity"},{"id":"P150","label":"contains administrative territorial entity"},{"id":"P150","label":"contains administrative territorial entity"},{"id":"P150","label":"contains administrative territorial entity"},{"id":"P150","label":"contains administrative territorial entity"},{"id":"P984","label":"IOC country code"},{"id":"P982","label":"MusicBrainz area ID"},{"id":"P138","label":"named after"},{"id":"P78","label":"top-level domain"},{"id":"P38","label":"currency"},{"id":"P856","label":"official website"},{"id":"P832","label":"public holiday"},{"id":"P349","label":"NDL identifier"},{"id":"P30","label":"continent"},{"id":"P31","label":"instance of"},{"id":"P31","label":"instance of"},{"id":"P31","label":"instance of"},{"id":"P31","label":"instance of"},{"id":"P36","label":"capital"},{"id":"P37","label":"official language"},{"id":"P35","label":"head of state"},{"id":"P6","label":"head of government"},{"id":"P646","label":"Freebase identifier"},{"id":"P910","label":"topic's main category"},{"id":"P17","label":"country"},{"id":"P463","label":"member of"},{"id":"P463","label":"member of"},{"id":"P463","label":"member of"},{"id":"P998","label":"dmoz"},{"id":"P242","label":"locator map image"},{"id":"P163","label":"flag"},{"id":"P85","label":"anthem"},{"id":"P237","label":"coat of arms"},{"id":"P948","label":"Wikivoyage banner"},{"id":"P901","label":"FIPS 10-4 (countries and regions)"},{"id":"P47","label":"shares border with"},{"i	[{"id":"P131","label":"is in the administrative-territorial entity","rating":1,"probability":0.18767061451295},{"id":"P132","label":"type of administrative entity","rating":1,"probability":0.13773039146179},{"id":"P227","label":"GND identifier","rating":-1,"probability":0.1254596038349},{"id":"P421","label":"time zone","rating":1,"probability":0.10678733207211},{"id":"P194","label":"legislative body","rating":1,"probability":0.063364111196909},{"id":"P18","label":"image","rating":1,"probability":0.056835492571505},{"id":"P1151","label":"topic's main portal","rating":-2,"probability":0.05607666934097}]	[]	1	
22	2014-05-14 14:13:21	10.68.16.65	Q5722	[{"id":"P646","label":"Freebase identifier"},{"id":"P131","label":"is in the administrative-territorial entity"},{"id":"P132","label":"type of administrative entity"},{"id":"P625","label":"coordinate location"},{"id":"P17","label":"country"},{"id":"P36","label":"capital"}]	[{"id":"P31","label":"instance of","rating":1,"probability":0.41405289173126},{"id":"P373","label":"Commons category","rating":1,"probability":0.16519895195961},{"id":"P442","label":"China administrative division code","rating":-1,"probability":0.093070460110903},{"id":"P150","label":"contains administrative territorial entity","rating":1,"probability":0.072062047058716},{"id":"P910","label":"topic's main category","rating":-2,"probability":0.049419851321727},{"id":"P94","label":"coat of arms image","rating":1,"probability":0.044505100231618},{"id":"P569","label":"date of birth","rating":-1,"probability":0.043068534655094}]	[]	3	
